rank,station_id,name,country,country_code,state,lat,lon,elev_m,date,prcp_mm,year_file,mflag,sflag,obs_time
381,IN014020800,CHERRAPUNJI,India,IN,,25.25,91.733,1313.0,19700713,575.0,1970,,I,
382,IN014020600,CHERRAPUNJI/P.S.,India,IN,,25.28,91.72,1380.0,19350820,574.3,1935,,I,
383,IN014020800,CHERRAPUNJI,India,IN,,25.25,91.733,1313.0,19350820,574.3,1935,,I,
384,ASN00033067,SARINA POST OFFICE,Australia,AS,,-21.4214,149.2175,19.0,19180123,574.0,1918,,a,
385,NC000091577,KOUMAC (NLLE-CALEDO,New Caledonia [France],NC,,-20.567,164.283,18.0,19810215,574.0,1981,,I,
386,USC00518336,PUOHOKAMOA 2 343,United States,US,HI,20.8256,-156.2128,908.3,19890601,574.0,1989,,0,
387,IN014020701,MAWSYNRAM       OBSY,India,IN,,25.3,91.58,1401.0,19540719,574.0,1954,,I,
388,NC000091577,KOUMAC (NLLE-CALEDO,New Caledonia [France],NC,,-20.567,164.283,18.0,19510609,574.0,1951,,I,
389,IN022030600,GOA/PANJIM,India,IN,,15.483,73.817,60.0,19800621,573.8,1980,,I,
390,ASN00068142,CORDEAUX RIVER,Australia,AS,,-34.3167,150.7333,-999.9,18980214,573.5,1898,,a,
391,IN014020701,MAWSYNRAM       OBSY,India,IN,,25.3,91.58,1401.0,19520712,572.8,1952,,I,
